time infects
0 0
1 11.5671
2 11.3387
3 10.3868
4 9.4669
5 7.6433
6 5.8557
7 5.3808
8 5.2745
9 3.1704
10 1.8076
11 0.9659
12 0.5130
13 0.2606
14 0.2424
15 0.2285
16 0.1022
17 0.1002
18 0.0361
19 0.0220
20 0.0201
21 0.0300
22 0.0221
23 0.0300
24 0.0141
25 0.0120
26 0.0180
27 0.0201
28 0.0140
29 0.0060
30 0.0180
31 0.0081
32 0.0100
33 0.0100
34 0.0120
35 0.0060
36 0.0141
37 0.0060
38 0.0080
39 0.0140
40 0.0100
41 0.0080
42 0.0081
43 0.0080
44 0.0060
45 0.0020
46 0.0020
47 0.0120
48 0.0000
49 0.0040
50 0.0060
51 0.0000
52 0.0081
53 0.0020
54 0.0060
55 0.0060
56 0.0020
57 0.0020
58 0.0040
59 0.0000
60 0.0080
