0 0
1 0
2 3.4068
3 10.2265
4 21.2165
5 37.4469
6 57.1563
7 69.3346
8 75.4208
9 89.2285
10 102.7175
11 112.1863
12 116.8737
13 117.4268
14 112.9479
15 105.9399
16 98.4429
17 90.1723
18 81.974
19 73.5971
20 65.9219
21 58.527
22 51.7736
23 45.5491
24 39.8157
25 34.7936
26 30.3727
27 26.3847
28 22.9378
29 19.8217
30 17.0461
31 14.7656
32 12.7475
33 10.9158
34 9.4088
35 8.1283
36 7.0401
37 6.1202
38 5.2886
39 4.5952
40 3.986
41 3.491
42 3.0401
43 2.5671
44 2.2064
45 1.8998
46 1.6453
47 1.4389
48 1.2304
49 1.0822
50 0.9078
51 0.7896
52 0.6534
53 0.5651
54 0.501
55 0.4489
56 0.3788
57 0.3266
58 0.2965
59 0.2484
60 0.2285
